can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,number_of_atoms,zero_point_correction,N1_APT_charge,N1_ES_root_Mulliken_charge,N1_ES_root_NPA_Rydberg,N1_ES_root_NPA_charge,N1_ES_root_NPA_core,N1_ES_root_NPA_total,N1_ES_root_NPA_valence,N1_Mulliken_charge,N1_NMR_anisotropy,N1_NMR_shift,N1_NPA_Rydberg,N1_NPA_charge,N1_NPA_core,N1_NPA_total,N1_NPA_valence,N1_VBur
COc1ccc(N)cc1OC,-515.6622205770652,2.681559406920551,1888.2168980806127,1258.7685392372953,-515.8499712886905,0.1931726685951758,-515.6732721857176,-515.709561811721,0.14583143393934533,-515.6612765770651,0.19411666859517576,0.0,1.812853444921493,0.09382940485100631,1887.226589446583,0.10011773859938179,-0.1939471434503881,0.006288333748375479,153.18040000000002,1242.143591423209,22.000000000000004,0.18212105994275118,-0.7114636542199066,-0.06487198888308146,0.010901913557211242,-0.6821170340209963,1.999283104527386,7.6821170340209965,5.671934799810459,-0.1466895706449558,79.61551177884675,203.04426393483976,0.011863161422077334,-0.8191883357503338,1.9993151603266637,7.819188335750335,5.808006909474208,0.37499460023723796
COc1ccc(N)cn1,-417.38751,3.0673,1306.3914,926.684,-417.528679642,0.146498,-417.395767,-417.428425,0.105583,-417.386566,0.147443,0.0,2.5594,0.11054499999999999,1312.4064,0.092295,-0.20284,-0.01825,124.142,989.51,17.0,0.138241,-0.681201,-0.050664,0.01068,-0.65286,1.99928,7.65286,5.64289,-0.149783,69.754,211.2849,0.01229,-0.82325,1.99933,7.82325,5.81164,0.3734266834487099
COc1ccc(S(N)(=O)=O)cc1,-949.6716731959615,5.3155820460879735,2837.3529164484653,1484.2067287827203,-949.839701892862,0.17287311097067332,-949.6831652914403,-949.7215703543685,0.12297595256356811,-949.6707289716697,0.1738173352624166,0.0,4.882095071520103,0.13789683906501454,2865.636854832698,0.10981631163294248,-0.24771315069795702,-0.02808052743207205,187.213,1661.0221129800125,21.0,0.1613802397835709,-0.8027191224627757,-0.08122076694307313,0.013936259192726263,-1.0607279951521444,1.9994777570825666,8.060727995152144,6.047316221794285,-0.09846574222714244,124.92247820469103,169.21463909493136,0.013879060880853774,-1.0863757365653999,1.9994877570825667,8.0863757365654,6.073001161519413,0.41494682493110335
CSc1ccc(N)cc1,-724.371817,1.7459,1684.478,1316.004,-724.524498845,0.155575,-724.381006,-724.415914,0.111478,-724.370872,0.156519,0.0,2.7584,0.110875,1686.0574,0.10416500000000001,-0.21504,-0.00671,139.2148,1518.466,18.0,0.146386,-0.764748,-0.085598,0.01164,-0.71889,1.99928,7.71889,5.70797,-0.136537,77.699,198.665,0.0113,-0.80927,1.99929,7.80927,5.79868,0.3766519823788546
CSc1cccc(N)c1,-724.3731061251854,2.27507563668968,1607.6386799188779,1395.557643422036,-724.5243972016658,0.1555223946740607,-724.3821341365659,-724.4163571820878,0.1122713377716161,-724.3721615786963,0.1564663946740607,0.0,2.5404721355131707,0.10271871800249105,1594.1769948291644,0.10177410777614347,-0.20449282577863453,-0.0009446102263475918,139.2148,1087.060052323885,18.0,0.14649483680443642,-0.71548503420621,-0.08210176703847849,0.01147278934812135,-0.7121285592236292,1.9992800000000002,7.71212855922363,5.701371234766862,-0.14142195834676316,79.99190141851466,200.5256180862837,0.01139546489135356,-0.8130030363014937,1.9993000000000003,7.8130030363014935,5.80230757141014,0.3762595484966106
C[C@@H](N)c1ccccc1,-365.479836,3.4857,1294.27,1037.392,-365.661002067,0.183231,-365.488217,-365.521508,0.14156,-365.478892,0.184176,0.0,1.0002,0.12485500000000001,1290.5526,0.116555,-0.24141,-0.0083,121.1816,1305.107,20.0,0.174851,-0.523188,-0.132859,0.01254,-0.66944,1.99938,7.66944,5.65753,-0.23441,61.1623,229.5314,0.01502,-0.87823,1.99948,7.87823,5.86374,0.4319540591567023
C[C@H](N)c1cccc2ccccc12,-518.8398178020402,2.1334983357680297,2337.720325478917,1463.308075295376,-519.0668111586953,0.23338947192938359,-518.8506302335436,-518.886696103034,0.18651117093556482,-518.8388738020402,0.23433347192938359,0.0,1.322944331478362,0.13174299235942397,2359.6372583234643,0.09015746553257128,-0.22190045789199525,-0.04158552682685268,171.2414,1504.5890888677404,26.0,0.22257704042601453,-0.49432145365794505,-0.19569811813179114,0.015148456905591884,-0.8309045254637132,1.999434917603402,7.830904525463713,5.816328656252045,-0.22568164880439973,30.2476715768332,216.17670507439664,0.01576244569261809,-0.8870748382281742,1.9994623593328262,7.887074838228174,5.871852527905405,0.46007397185692517
Cc1ccc(CN)cc1,-365.47970172284164,3.0389347935016335,1440.772658882575,1173.6880691110027,-365.6613080218822,0.18320578714027683,-365.48875306429863,-365.52440842338353,0.13849908659840898,-365.4787577228417,0.18414978714027683,0.0,1.5948197302837173,0.12065638579169541,1426.9978554870218,0.11269245009031131,-0.23334883588200672,-0.007963935701384098,121.1816,1204.976268950652,20.0,0.17415383925346023,-0.535267874509376,-0.1379903699699637,0.011230321493079506,-0.6325833808550145,1.9994099999999997,7.632583380855014,5.621943059361936,-0.253315984443114,28.126037878394264,218.74541055267485,0.0142,-0.8615869069235296,1.99951,7.861586906923529,5.8478769069235295,0.3721705592595933
Cc1ccc(Cl)c(N)c1,-785.792709,2.9799,1539.2224,1193.443,-785.934541196,0.144512,-785.801484,-785.836056,0.101166,-785.791764,0.145457,0.0,2.0617,0.11033,1538.8051,0.10293000000000001,-0.21326,-0.0074,141.5999,1233.224,17.0,0.135737,-0.696179,-0.028995,0.01082,-0.65588,1.99926,7.65588,5.64581,-0.120658,54.5414,201.088,0.01146,-0.8123,1.99928,7.8123,5.80156,0.40693832599118945
Cc1ccc(N)c(C)c1,-365.49653,2.8761,1301.8198,1140.319,-365.675524941,0.181924,-365.505742,-365.540703,0.137752,-365.495586,0.182868,0.0,1.4908,0.096665,1299.3026,0.10336500000000001,-0.20003,0.0067,121.1816,1140.319,20.0,0.172712,-0.682936,-0.055117,0.01066,-0.67142,1.99928,7.67142,5.66147,-0.143241,50.4008,203.0064,0.01173,-0.82309,1.99932,7.82309,5.81205,0.4127595972309629
