,SASA,Volume,HOMO,LUMO,IP,EA,Dipole,N_1_BV,N_1_SASA,N_1_P_int,N_1_charge,N_1_electrophilicity,N_1_nucleophilicity,N_1_radicalFukui
Nc1ccc(F)nc1,257.99987336408464,129.3803532033261,-0.3808350284460576,-0.2543719803256857,8.569102268100774,-1.2655837412692263,2.214993197580145,0.2926528140141632,20.779779634610037,17.525502906554834,-0.2683505564003346,0.0370902345336238,0.1118161702648071,0.0744532023992155
COc1ccc(N)cc1OC,336.45184673385074,200.74871896509237,-0.3409940021412017,-0.2064406461186711,7.074970891209253,-2.2444840769438783,1.074850791675479,0.2921574858809883,21.305170516084644,17.574416443400917,-0.2825079154431755,0.0316634720195263,0.0829812573594314,0.0573223646894789
Cc1ccc(Cl)c(N)c1,303.88114944590257,174.12739348182183,-0.3617750870952496,-0.2220961893704073,7.732937597549396,-1.7081289809333398,0.934326512409613,0.3435869362653745,20.08978695184387,19.13533377390106,-0.2661319565125296,0.0341599987203148,0.0942029958155561,0.0641814972679354
COC(=O)c1ccc(N)cc1,331.96004543836364,190.07143267498984,-0.372199481478742,-0.2534655628321861,8.08994644903288,-0.7014262841051362,1.7458829557688995,0.2943853667890095,20.53978299632145,18.007947860165963,-0.2618347297916871,0.0429172939770975,0.1026301974252931,0.0727737457011953
NS(=O)(=O)c1cc(F)cc(F)c1,331.57677474114064,181.82657862352147,-0.4385359695269556,-0.2898861017492948,9.754815545314049,0.0729464065730592,1.391479040892572,0.3533027933324404,16.02196429875049,21.49063755758669,-0.4564149495395462,-0.0039974986555279,0.0504284409025853,0.0232154711235286
C1CCN(C2CCNCC2)CC1,369.6500595544346,256.91292631810256,-0.3451100556855793,0.0056102290405221,7.277042361822058,-7.530564763536322,0.4472824923518494,0.6626444278792396,1.3199860018135297,27.700141635971548,-0.1927901292377588,0.129615524547788,0.1453409050115189,0.1374782147796535
NC1CCCCC1,274.06544075027654,165.30939659328124,-0.3611411009664203,0.0409942271444519,8.247082872860043,-8.791726484649828,0.5497771671032129,0.306427499394364,19.39847147672501,15.925027638820806,-0.3477542920121096,0.1294505379270895,0.1439103356533559,0.1366804367902227
CCOc1cc(N)ccn1,321.2236541620119,185.07814661849267,-0.3614929256634506,-0.2192613564110273,7.986393668715237,-2.0113031307223466,1.034568530212587,0.2935146990726464,20.70294324734833,17.770379506334795,-0.2672262542808304,0.044404670747519,0.074785663619568,0.0595951671835435
CCOC(=O)c1cccc(N)c1,361.4803235564483,214.93604679832387,-0.3671858927615989,-0.2599715746123809,7.988671521963524,-0.5514043336564335,1.1068472198981534,0.2934125263593302,20.891601758768445,17.947625841502784,-0.2731514208556768,0.0293059888402717,0.1031079211482667,0.0662069549942692
Cc1ccc(Oc2ccc(N)cc2)cc1,414.7963385502552,261.6562267031709,-0.349473874823742,-0.2188674089362994,6.928105368266532,-1.1356892258832687,1.0138395759970134,0.2926103429694116,21.130331423040083,17.854175963224872,-0.2795293212593618,0.0236873428650675,0.0721500316871733,0.0479186872761204
COCCN1CCNCC1,343.5318915799661,215.99838152222696,-0.3461541083292376,0.0127336504955752,7.412006849805302,-7.695941436230565,0.6422203427298018,0.6191111686635792,2.042904737227325,25.719146797159297,-0.1848962198680783,0.094338586051971,0.1236127180767558,0.1089756520643634
Nc1ccc2nccnc2c1,308.05142678743294,175.92020826435896,-0.3434767277477187,-0.2823142348813602,7.407860964812805,0.093882731208013,1.3360584095063377,0.2947784662691017,20.58978164950052,17.970293104635108,-0.2634965483380703,0.0339810312705482,0.0621632960318176,0.0480721636511829
CC(C)NC(C)C,302.6148108610072,182.0538926402317,-0.3421560052397163,0.0314469878598331,7.989693624522093,-8.545314158727328,0.3764945819247806,0.5700032612746593,3.373964219796255,23.44722288277424,-0.2704455957294086,0.1528713111075788,0.1889442543303061,0.1709077827189425
Cc1ccc(S(N)(=O)=O)cc1,338.8605907077657,198.61382171878796,-0.4149093216772256,-0.2545458380477114,8.904795049968783,-0.7446779735590597,2.140711508763978,0.3507618802676923,16.67575660432302,21.13121566980327,-0.4597931316400483,-0.0041755104011802,0.0448912186433828,0.0203578541211013
Nc1ccc(Cl)cn1,276.4305848467643,146.21341104561142,-0.3762345067799591,-0.2630917839538101,8.361717300784216,-0.8044576341840148,1.3252041157983223,0.278722512113306,20.83977899832883,15.665065145150342,-0.3270408335412036,0.0201523889637294,0.1104052328516711,0.0652788109077002
NCC1CC1,238.79776975330623,123.32162443731634,-0.36591791584674,-0.0560553640741638,8.807343223581006,-6.771980608737389,0.5624676601097874,0.2626597589821825,23.658278578612904,14.206942228501076,-0.3425774438560628,0.0581963176690878,0.1925807016643219,0.1253885096667049
Cc1cn(-c2cc(N)cc(C(F)(F)F)c2)cn1,424.1993335756707,257.6429054830637,-0.3788495795829068,-0.2649930186708074,7.923676102955059,-0.2315652148785829,1.8985427464451847,0.6156820723524532,1.1619876766925197,29.48551190097724,-0.0130859495014132,0.0224137772282745,0.0427358966152155,0.032574836921745
Cc1ccc(N)nc1,277.1210008268269,149.73070227595784,-0.3566404865985046,-0.2287466062566254,7.871288556515207,-1.855096477530643,0.7473822735394267,0.2846626910175177,21.12977592296968,17.18862977356218,-0.275089890850363,0.0399418286219391,0.0974356446611637,0.0686887366415514
NCc1ccc(F)cc1F,301.4383402172907,163.7771005458523,-0.3805300814408174,-0.2491329135460862,8.621686191265143,-1.2005107171912406,1.1019289746001557,0.289933547400241,15.226174186922858,16.715835738518415,-0.3375406597784555,0.0013937511616152,0.1343544048968468,0.067874078029231
NCc1ccc(Cl)cc1,308.4363392883873,177.41595393906374,-0.3757721389745049,-0.2399722720123449,8.19770410210323,-1.1905801014272623,0.3934417928935722,0.279904646249273,22.857239629965107,14.709459115009782,-0.3340795788865869,0.0242494280328339,0.1381923992142363,0.0812209136235351
COc1ccc(CN)cc1,326.3393800282297,191.73424615614607,-0.36441611702361,-0.2225662480806073,7.784960582940157,-1.8596100321382625,0.8645438887794975,0.278620404514507,23.456273850679693,14.628774795529749,-0.3375337663054959,0.0233150954914891,0.1261852048150515,0.0747501501532703
COc1ccc(N)cn1,293.72048713207886,160.6211051339835,-0.3563944122994736,-0.2346623104640592,7.689102454604367,-1.7001598087230732,0.96870490958425,0.2911386507640701,21.229774862501017,17.352866438048,-0.282243129170259,0.0326588440435516,0.1027095172028846,0.0676841806232181
C1COCCN1,239.27914225634484,128.20664366368987,-0.3584478300461731,0.0236091057398093,8.221680850173161,-8.546452257665438,0.581153072738099,0.4228460265959629,14.332521801401084,16.87680530643465,-0.2577550898837333,0.1253366427054391,0.1762297932092817,0.1507832179573604
C#Cc1cccc(N)c1,299.1426780382054,160.75793611825085,-0.3588396822392946,-0.230901004982072,7.814093256952173,-1.4323294565783715,0.8461159200355718,0.2931944185613119,20.97977751367269,17.435064920364436,-0.2800102330247649,0.0304521279384852,0.1073839898546361,0.0689180588965607
NCc1ccccc1,282.4663000044103,157.8998286930107,-0.3678370104842285,-0.2240964290588822,8.384459207591156,-1.8152300634827572,0.4924837831485857,0.2786060380165364,24.03974506328158,14.3743068206618,-0.3366861471134861,0.028179210644099,0.1652854720529818,0.0967323413485404
CC(C)Nc1ccccc1,335.2559326806518,204.6839409076005,-0.3445962848910135,-0.205930824980788,7.4121706795706785,-2.351123190507963,0.8982880953881418,0.5588577666623463,4.635961334813494,24.41061744567955,-0.1971784325661235,0.0390046893032783,0.1290368331832647,0.0840207612432715
CNc1ccc(F)cc1,293.1257625319746,160.56759782252442,-0.3573697644646092,-0.2258674177845097,7.790252359799399,-1.884086159075158,1.7531422629246565,0.4394655003311685,8.539909458504853,21.016001482454445,-0.17895021043019,0.042959097550104,0.1364543318811417,0.0897067147156228
COc1ccc(N)cc1,297.9657765154857,166.8436606005749,-0.3445980082007012,-0.2123836689574419,7.340713353292114,-2.219673032454809,0.8244355836818276,0.2919568843881276,21.31977305680158,17.170321750065092,-0.2846033779001117,0.0312437886633061,0.1031262500754785,0.0671850193693923
CNOC,215.8746566498621,99.82201961285914,-0.3752283330799499,-0.0698237938213426,9.157629623472548,-6.753258382786619,0.282392276036158,0.3652482062990796,10.929884090747958,16.724041659115713,-0.141315703279226,0.2352172456921791,0.1840132369170881,0.2096152413046336
C[C@H](N)c1cccc2ccccc12,361.22310835147977,234.37377415206583,-0.3642512737408388,-0.2543827283024356,7.553987346722749,-0.5049689579508914,0.5280058576837678,0.3708472278331282,14.463615274400953,18.8419901703395,-0.3413256483166114,0.0054524768924029,0.0924812017232502,0.0489668393078265
Cc1ccc(N)cc1,282.9014153728844,157.65255587997177,-0.349368884021115,-0.207166340575172,7.573657843180184,-2.32880162495399,0.6187434620218639,0.29251304509877,21.169775498782226,17.082682063977646,-0.2833950745959592,0.0341126159704214,0.1125637573103284,0.0733381866403749
CC1COCCN1,265.3142977964591,152.28248782753963,-0.3591414985446033,0.0225655245458069,8.161824854619052,-8.377299940270579,0.6496968937068279,0.4861143820479133,8.892286848098005,19.875509655048077,-0.2626076760926173,0.131725147890951,0.1533082954163746,0.1425167216536628
COC(=O)c1ccc(N)cc1OC,370.3296681743299,223.52879396388224,-0.3677078445725407,-0.2464050642418297,7.800985734605479,-0.8082322826510259,2.1893398102342205,0.2946849685178159,20.64648577939177,18.25342463743603,-0.263701416779806,0.0411437066187385,0.0803544335967197,0.0607490701077291
CCNc1ccccc1,309.9232273653768,179.94257264207675,-0.3466456658644347,-0.2071173647468108,7.508983860289703,-2.3330749080233018,0.8340247822121504,0.4970709073404208,7.928847715689201,21.875004534796105,-0.1945452308244549,0.0411031403552584,0.1354350138682743,0.0882690771117663
Cc1ccc(CN)cc1,311.34289030910463,183.04484337350877,-0.3650821498282313,-0.2191934457479699,8.046448210174843,-1.8432071462853836,0.713663503082574,0.2782856479910561,24.125003371980178,14.321579188203804,-0.3376498779107274,0.0271862408816877,0.1446050879907103,0.085895664436199
NC1CCc2ccccc21,311.8834007301365,189.4605177465584,-0.3654212047309567,-0.2178447647651594,8.022809891331583,-1.8922354719341112,0.4989871176649185,0.3321213640936247,18.190631870236384,16.416933646972872,-0.3400434421199037,0.0155997626178984,0.1203418821031819,0.0679708223605402
CC(=O)c1ccc(N)cc1,312.21504641595146,178.1895583386655,-0.3724118346291888,-0.2617782198221517,7.97806052232543,-0.5345595887387629,2.232178935188526,0.2942659801104624,20.49978330208328,17.835122771530965,-0.2618338712662087,0.042481638029434,0.0933069838378068,0.0678943109336204
NCc1ccccc1C(F)(F)F,321.8010418727776,189.93153702857705,-0.3788839311289897,-0.2636848181980953,8.915394517996733,-0.7227630175145399,1.6333682274287604,0.3302652727996921,22.781507093683647,15.34942140265482,-0.3320401697741254,0.0245913988115298,0.1803927168811581,0.1024920578463439
NCc1cccc2ccccc12,339.3382426208843,211.5648059360392,-0.3664972923012384,-0.258758288348514,7.709156153686094,-0.4061751409988335,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088
Cc1ccccc1N,277.06152507048785,156.29194835700886,-0.351613929661354,-0.2055771435838475,7.734352510270423,-2.32598488098593,0.8319642472019678,0.3366741986582184,18.8797997835148,18.363408479623523,-0.2841312001437286,0.0336746682400049,0.1158308335444516,0.0747527508922283
NCc1ccc2c(c1)OCO2,322.05193417295715,186.2573440754093,-0.3694394198313991,-0.2303551448771306,7.764594156151344,-1.5807830717054971,0.4243596792941707,0.2798467309611965,23.409979555838703,14.859127051212475,-0.334593627296502,0.0246316762086842,0.1142787786888715,0.0694552274487779
CCCNC,254.9038247582179,136.12346776620274,-0.3510509287925749,0.0466009218336418,8.347357027532366,-9.23182788859611,0.4170456233202196,0.4133685050868707,8.112187567663991,19.01282956358473,-0.2559984439858394,0.1788408501744496,0.2035980034332746,0.191219426803862
