,SMILES,LUMO,%VBur2.0,NBOrad,rate
,CC(C)(C)OC(=O)N1CCN(CC1)C(=O)C1=CC=CC=C1I,-0.01397,97.677745,0.20647,1.158
,CC(C)(C)OC(=O)N1CCN(CC1)C1=CC=C(I)C=C1,0.00209,97.63548086,0.14421,0.887
,CC(C)(C)OC(=O)N1C[C@H](C[C@H]1C(O)=O)OC1=CC=C(I)C=C1,-0.00579,97.632928,0.16094,1.166
,CC(C)(C)OC(=O)NC(CC1=CC(I)=CC=C1F)C(O)=O,-0.0038,97.63140793,0.18063,1.260
,CC(C)(C)OC(=O)NC1=C(C=C(I)C=C1)N(=O)=O,-0.07106,97.63660131,0.16966,2.446
,CC(C)(C)OC(=O)NC1=C(I)C(F)=CC=C1,-0.01492,97.75799157,0.09413,-0.286
,CC(C)(C)OC(=O)NC1=C(I)C2=C(C=CC=C2)C(OCC2=CC=CC=C2)=C1,-0.01601,97.78860052,0.14182,-0.279
,CC(C)(C)OC(=O)NC1=C(I)C=C(Br)C=C1,-0.02154,97.72138189,0.17065,0.661
,CC(C)(C)OC(=O)NC1=C(I)C=C(C=C1)N(=O)=O,-0.05857,97.72919958,0.16038,1.240
,CC(C)(C)OC(=O)NC1=C(I)C=C(F)C=C1,-0.01808,97.72472624,0.17494,0.587
,CC(C)(C)OC(=O)NC1=C(I)C=CC=C1,-0.01165,97.71465066,0.15078,0.416
,CC(C)(C)OC(=O)NC1=C(N)C=C(I)C=C1,-0.0009,97.6377394,0.18951,1.195
,CC(C)(C)OC(=O)NC1=CC(=CC(I)=C1)C(O)=O,-0.03342,97.62918478,0.21116,2.039
,CC(C)(C)OC(=O)NC1=CC(Br)=CC(I)=C1,-0.01135,97.62875817,0.23259,1.745
,CC(C)(C)OC(=O)NC1=CC(I)=CC=C1,-0.00583,97.62318256,0.21198,1.569
,CC(C)(C)OC(=O)NC1=CC=C(Cl)C(F)=C1I,-0.023,97.76395892,0.11472,-0.064
,CC(C)(C)OC(=O)NC1=CC=C(I)C=C1,-0.00157,97.63588083,0.16396,1.073
,CC(C)(C)OC(=O)NC1=CC=C(I)C=C1Cl,-0.00978,97.63733945,0.18162,1.324
,CC(C)(C)OC(=O)NC1=CC=C(I)C=C1F,-0.00734,97.63662779,0.18548,1.307
,CC(C)(C)OC(=O)NCC1=CC=CC(I)=C1,-0.00558,97.63137255,0.19523,1.383
,CC(C)(C)OC(=O)NCC1=CC=CC=C1I,-0.00522,97.68063762,0.24009,1.162
,CC(C)(C)OC(=O)NCCCC(=O)NC1=CC=C(I)C=C1,-0.00119,97.632173,0.16224,1.092
,CC(C)(C)OC(=O)N[C@@H](CC1=CC(I)=CC=C1)C(O)=O,-0.00536,97.62986977,0.18985,1.361
,CC(C)(C)OC(=O)N[C@@H](CC1=CC=C(I)C=C1)C(O)=O,-0.00263,97.6291228,0.18614,1.293
,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1I)C(O)=O,-0.00721,97.68181869,0.17314,0.787
,CC(C)(C)OC(=O)N[C@H](CC1=CC(I)=CC=C1)C(O)=O,-0.00927,97.6302167,0.19417,1.459
,CC(C)(C)OC(=O)N[C@H](CC1=CC=C(I)C=C1)C(O)=O,-0.00418,97.628794,0.18133,1.297
,CC(C)(C)[C@@H](CO)\N=C\C1=CC(I)=CC(I)=C1O,-0.0435,97.61422799,0.16197,2.086
,CC(C)(C)[Si](C)(C)OC1=CC(I)=CC=C1,-0.00422,97.61680672,0.20665,1.568
,CC(C)(C)[Si](C)(C)OCC1=CC=C(I)C=C1,-0.00274,97.630964,0.17717,1.223
,CC(C)(O)C1=C(I)C=CC=C1,-0.00216,97.76622484,0.18127,-0.091
,CC(C)C1=C(I)C=C(C=C1)C(O)=O,-0.0307,97.72286731,0.18675,0.921
,CC(C)C1=C(I)C=C(Cl)C=C1,-0.0118,97.68473734,0.2034,1.029
,CC(C)C1=C(I)C=CC(Br)=C1,-0.00983,97.71094147,0.18711,0.636
,CC(C)C1=C(I)C=CC=C1,-0.00301,97.70235143,0.18645,0.584
,CC(C)C1=CC(C(C)C)=C(I)C=C1,-0.00057,97.70459231,0.1797,0.474
,CC(C)C1=CC(I)=CC(Br)=C1,-0.01343,97.63811288,0.21669,1.598
,CC(C)C1=CC(I)=CC(C(C)C)=C1O,0.00252,97.63843344,0.17363,1.027
,CC(C)C1=CC=C(I)C(=C1)N(=O)=O,-0.05464,97.73112633,0.244,1.647
,CC(C)C1=CC=C(I)C(Br)=C1,-0.01479,97.69301443,0.17843,0.855
,CC(C)C1=CC=C(I)C=C1,-0.00222,97.6381217,0.17752,1.145
,CC(C)C1=CC=C(N)C(I)=C1,-0.00153,97.68436385,0.14032,0.454
,CC(C)C1=CC=CC(C(C)C)=C1I,-0.00166,97.80993001,0.18769,-0.491
,CC(C)C1=CC=CC(I)=C1,-0.00251,97.62390289,0.19467,1.393
,CC(C)CC1=CC=C(I)C=C1,-0.00261,97.63288416,0.17755,1.204
,CC(C)NC(=O)C1=CC=C(I)C=C1,-0.02178,97.6373571,0.20235,1.681
,CC(C)NC(=O)C1=CC=CC(I)=C1,-0.02174,97.62396501,0.18891,1.731
,CC(C)NC(=O)C1=CC=CC=C1I,-0.01657,97.71840255,0.2576,1.116
,CC(C)NC(=O)CC1=CC=C(I)C=C1,-0.00343,97.62768202,0.18505,1.316
,CC(C)NC1=CC=CC=C1I,-0.00232,97.69267542,0.13877,0.379
,CC(C)OC1=C(I)C=CC=C1,0.00275,97.67131781,0.09319,0.216
,CC(C)OC1=CC=C(I)C=C1,-0.00034,97.63437808,0.15555,1.013
,CC(C)OC1=CC=C(I)C=C1Br,-0.01416,97.63588083,0.17351,1.374
,CC(C)OC1=CC=CC(I)=C1,-0.00392,97.62279132,0.21167,1.534
,CC(C)S(=O)(=O)N[C@@H]1CCOC[C@H]1C1=CC=C(I)C=C1,0.00533,97.62842012,0.1891,1.164
,CC(C)S(=O)(=O)N[C@H]1CCOC[C@@H]1C1=CC=C(I)C=C1,-0.00274,97.62950514,0.18936,1.311
,CC(Cl)C(=O)NC1=CC=CC=C1I,-0.01502,97.73032004,0.16197,0.395
,CC(N)C1=CC=C(I)C=C1,-0.00073,97.63703657,0.1786,1.133
,CC(O)C1=CC=C(I)C=C1,-0.00471,97.63548086,0.18411,1.259
,CC(OC1=CC=C(I)C=C1)C(C)=O,-0.00644,97.63928622,0.15909,1.105
,CC(OC1=CC=C(I)C=C1)C(O)=O,-0.00375,97.6321372,0.16215,1.141
,CC1(C)COB(OC1)C1=CC=C(I)C=C1,-0.00577,97.63360461,0.19578,1.368
,CC1(C)OB(OC1(C)C)C1=C(F)C=CC=C1I,-0.00767,97.72954763,0.26685,0.890
,CC1(C)OB(OC1(C)C)C1=C(I)C=CC=C1,-0.00897,97.73144897,0.24262,0.751
,CC1(C)OB(OC1(C)C)C1=CC(I)=CC=C1,-0.01017,97.61458364,0.17485,1.514
,CC1(C)OB(OC1(C)C)C1=CC(O)=CC=C1I,-0.01055,97.7348188,0.21476,0.581
,CC1(C)OB(OC1(C)C)C1=CC=C(I)C=C1,-0.00989,97.63582785,0.19959,1.449
,CC1=C(Br)C(F)=CC(I)=C1,-0.01482,97.63584551,0.21645,1.645
,CC1=C(Br)C=C(Cl)C(I)=C1,-0.0185,97.6907218,0.19828,1.069
,CC1=C(Br)C=C(I)C(Br)=C1,-0.02481,97.67499188,0.19638,1.334
,CC1=C(Br)C=C(I)C=C1Br,-0.02513,97.63993621,0.2151,1.797
,CC1=C(Br)C=CC(I)=C1,-0.00965,97.64031851,0.19487,1.372
,CC1=C(Br)C=CC(I)=C1Cl,-0.01879,97.70829287,0.19826,0.902
,CC1=C(Br)C=CC=C1I,-0.0146,97.69635854,0.20632,0.986
,CC1=C(C(F)=CC=C1I)N(=O)=O,-0.05595,97.70496579,0.18842,1.595
,CC1=C(C(I)=CC=C1)N(=O)=O,-0.04378,97.70046685,0.2612,1.841
,CC1=C(C(O)=O)C(N)=CC=C1I,-0.02457,97.7153891,0.13855,0.586
,CC1=C(C)C(C)=C(I)C(C)=C1C,0.00351,97.80798894,0.19154,-0.549
,CC1=C(C)C(C)=C(I)C(I)=C1C,-0.02388,97.79084142,0.17096,0.027
,CC1=C(C)C(I)=C(C)C(C)=C1I,-0.00763,97.82435749,0.19878,-0.450
,CC1=C(C)C(I)=C(C)C=C1,0.00086,97.76095433,0.19127,-0.037
,CC1=C(C)C(I)=C(C=C1)C(O)=O,-0.01936,97.80690124,0.27476,0.405
,CC1=C(C)C(I)=CC=C1,-0.0009,97.70415881,0.1935,0.567
,CC1=C(C)C=C(C(I)=C1)N(=O)=O,-0.05187,97.7318394,0.25256,1.638
,CC1=C(C)C=C(C=O)C(I)=C1,-0.0413,97.69184227,0.23441,1.717
,CC1=C(C)C=C(I)C(Br)=C1,-0.01343,97.67543483,0.186,1.047
,CC1=C(C)C=C(I)C=C1,-0.00056,97.63361345,0.18482,1.201
,CC1=C(C=C(Br)C=C1I)C(O)=O,-0.04409,97.70645971,0.20549,1.454
,CC1=C(C=C(C=C1I)N(=O)=O)C(O)=O,-0.07213,97.72913173,0.19579,1.716
,CC1=C(C=C(Cl)C=C1I)C(O)=O,-0.03925,97.72063492,0.20522,1.219
,CC1=C(C=C(I)C(Br)=C1)C(O)=O,-0.041,97.66501216,0.17604,1.624
,CC1=C(C=C(I)C(Cl)=C1)C(O)=O,-0.03998,97.66345716,0.17944,1.639
,CC1=C(C=C(I)C(N)=C1)C#N,-0.01674,97.68663071,0.12965,0.663
,CC1=C(C=C(I)C=C1)C#N,-0.0383,97.63766882,0.18766,1.909
,CC1=C(C=C(I)C=C1)C(=O)C1=CC=C(S1)C1=CC=C(F)C=C1,-0.05544,97.62987862,0.18046,2.275
,CC1=C(C=C(I)C=C1)C(O)=O,-0.03422,97.62647295,0.17601,1.870
,CC1=C(C=C(I)C=C1Cl)C(O)=O,-0.04315,97.63842462,0.19435,2.036
,CC1=C(C=C(N)C(I)=C1)C(F)(F)F,-0.01179,97.70416738,0.16019,0.578
,CC1=C(C=CC(I)=C1)C#N,-0.03788,97.63958035,0.22446,2.104
,CC1=C(C=CC(I)=C1)C1=C(C)C=C(I)C=C1,-0.00617,97.632493,0.1944,1.378
,CC1=C(C=CC(I)=C1)N(=O)=O,-0.06221,97.64293291,0.23128,2.583
,CC1=C(C=CC=C1I)C#N,-0.03563,97.69295412,0.19638,1.367
,CC1=C(CO)C=C(I)C(Cl)=C1,-0.01026,97.67094432,0.19029,1.055
,CC1=C(Cl)C(=CC=C1I)C#N,-0.04417,97.7153891,0.23173,1.525
,CC1=C(Cl)C=C(I)C(O)=C1I,-0.03605,97.68809012,0.17829,1.315
,CC1=C(Cl)C=C(I)C=C1,-0.0112,97.63696596,0.19604,1.442
,CC1=C(Cl)C=C(I)C=C1Cl,-0.02004,97.63844226,0.21489,1.712
,CC1=C(Cl)C=CC=C1I,-0.01212,97.70266485,0.2057,0.873
,CC1=C(F)C(I)=CC=C1Br,-0.01338,97.67690274,0.14393,0.779
,CC1=C(F)C=C(C=C1I)C(=O)NC1CC1,-0.02288,97.66430009,0.21277,1.500
,CC1=C(F)C=C(F)C(I)=C1,-0.01149,97.66984997,0.12926,0.723
,CC1=C(F)C=C(F)C=C1I,-0.01502,97.69708831,0.23284,1.147
,CC1=C(F)C=CC=C1I,-0.00849,97.69303166,0.20892,0.916
,CC1=C(I)C(=CC(Br)=C1)C(O)=O,-0.03719,97.81023806,0.25163,0.579
,CC1=C(I)C(=CC=C1)N(=O)=O,-0.05179,97.79573788,0.25205,1.006
