can,UMAP1,UMAP2,rate
FC1=CC=CC(CBr)=C1I,1.1402262,10.891282,-0.0399094114972583
FC1=CC(F)=C(I)C(Cl)=C1,0.5121809,10.238677,-0.0365878132881136
CC(C)(C)C1=CC(I)=C(O)C(I)=C1,3.351783,13.261417,-0.034490448735201
OC1=CC(Br)=C(I)C(Br)=C1,2.5562377,6.943671,-0.0304101756152688
NC1=CC(Cl)=C(I)C=C1C(O)=O,3.1144857,10.132492,-0.0238484087127386
NC(=O)C1=C(O)C=CC(I)=C1,5.415392,11.47932,-0.0233246473360806
CC(C)(C)C1=C(I)C=CC(O)=C1,2.131726,16.998459,-0.0068682872915381
OC(=O)CCCCC1=CC=C(I)C=C1,6.710711,15.742539,-0.0031029696292574
OC1=C(O)C(I)=CC=C1,0.0727406,13.727848,0.0002554862859845
FC1=CC(Br)=CC(F)=C1I,-0.52756864,10.712022,0.0020661501216441
OC1=CC(Cl)=C(I)C=C1,1.5967481,9.264748,0.0036768002666182
CCOC1=CC(Br)=CC=C1I,2.2740839,13.149471,0.0066319260431403
CCOC(=O)CC1=C(I)C=CC=C1,3.2538154,17.04225,0.0154989716449169
CCOC1=CC=C(I)C(F)=C1F,0.4325112,12.225009,0.0172171156384329
COC1=CC(Br)=CC(OC)=C1I,-0.27073443,12.471919,0.0186184952658795
COC(=O)C1=C(OC)C=C(NC(C)=O)C(I)=C1,2.6141849,13.901983,0.019539844641912
COC(=O)C1=CC(I)=C(N)C=C1OC,1.3473626,14.68114,0.0198033155117077
CCOC(=O)C1=CC(I)=C(O)C(I)=C1,3.3191004,12.616025,0.0279540290631087
COC1=CC(F)=C(I)C=C1,-0.05975056,12.15061,0.0286222682448208
BrC(C1=CC=CC=C1)C1=C(I)C=CC=C1,3.7417786,15.992094,0.0296280988786238
NC1=C(I)C(F)=C(Br)C(F)=C1,-0.6639803,11.840407,0.0301014869519695
OCC1=CC(I)=C(CO)C=C1I,3.3085544,16.441778,0.0329748918598739
COC(=O)C1=CC(I)=C(Cl)C=C1C,2.2629282,8.359154,0.03433921886112
CN(C)C1=CC(Br)=C(I)C=C1,0.6745611,8.792755,0.0358939654036031
COC1=CC=CC(CO)=C1I,0.03253121,14.423353,0.0363168276329349
COS(=O)(=O)C1=CC=CC=C1I,2.906827,9.312991,0.0497796872523306
CC1=CC(I)=C(CO)C=C1C,2.2558255,17.234394,0.0540274884768463
COC(=O)C1=CC(I)=C(OC2=CC=CC=C2)C=C1,3.5251079,14.03184,0.0543493833810676
OC1=CC=CC(C=O)=C1I,4.3911834,11.005524,0.0682655767309812
OC(=O)C1=C(I)C=C(F)C(F)=C1,7.185138,9.96613,0.0699142547908895
OC(=O)CNC(=O)C1=C(I)C=CC=C1,4.624432,17.021412,0.0787011763204678
CCCC1=C(I)C=CC=C1,2.5578842,17.912195,0.0787055127609552
COC1=CC([C@@H](O)C(C)(C)C)=C(C=C1I)N(=O)=O,4.6710353,11.772354,0.0814128083866112
OS(=O)(=O)C1=CC=C(I)C=C1,8.980614,14.467342,0.0849036122965296
IC1=CC=CC(=C1)C1=CC=CC=C1,7.484316,16.238821,0.0877932440601709
CC1=CC(N)=C(I)C=C1,-0.0795079,15.488059,0.0898648643449653
COC1=C(C=C(Cl)C(C)=C1I)C(C)=O,5.0301647,11.263415,0.1093763536846304
COC1=C(I)C(=CC=C1)N(=O)=O,4.507269,10.021583,0.1122939011854577
OC1=C(F)C=C(I)C=C1,8.0579,17.413877,0.1130116687758882
CC1(C)COB(OC1)C1=CC=C(I)C=C1,6.802991,15.550914,0.1199137313953129
CC1=CC(I)=C(O)C=C1Cl,1.1123037,13.3105135,0.1200820748587892
OC1=C(I)C(Br)=CC=C1,0.9504841,9.665749,0.1315812841120352
OC(=O)C1=CC=CC(=C1I)C(F)(F)F,6.3511295,9.668133,0.1331978924136482
COC1=CC(I)=C(Cl)C=C1,1.7199043,8.90814,0.1423359458050492
FC1=C(I)C=CC(=C1)C1CC1,0.6248481,12.097347,0.1455527476753392
NC1=C(I)C=C(Br)C(=C1)C(F)(F)F,1.9444807,13.433461,0.1486939467044052
NNC1=C(I)C=CC=C1,0.28869992,15.311367,0.1520270421172464
FC1=C(F)C(=CC=C1I)C(F)(F)F,1.6184267,11.206095,0.1562611462957939
OC(=O)C1=C(I)C=C(C=C1)C#N,6.3377643,9.283374,0.1633325510976817
ClC1=C(I)C=C(C=O)C=C1,4.0802684,8.571685,0.1661339953714613
OC(=O)CCC1=CC(I)=C(O)C(I)=C1,3.6772742,13.235998,0.1691746268533472
COC(=O)C1=CC(N)=C(I)C=C1C,4.583844,12.452086,0.1711555687903045
BrC1=CC=CC=C1I,2.443172,8.029288,0.1755986090611888
COC1=CC(C(C)C)=C(OS(=O)(=O)C2=CC=C(C)C=C2)C=C1I,4.659706,14.249439,0.1766840178983932
NC1=CC=C(Cl)C(I)=C1Cl,1.0028396,8.728948,0.1940945820973664
COC1=C(I)C(F)=C(F)C=C1,-0.64295286,11.95343,0.1941136126294284
CC1=CC(I)=CC(C(O)=O)=C1N,4.9565473,11.893689,0.2026670890187298
NC1=C(I)C(Cl)=CC=C1,1.147377,10.333129,0.2032196798717099
CC1=CC(C)=C(I)C(C)=C1,1.3634955,17.898098,0.2051258752481049
OC(=O)C1=C(Br)C(I)=CC=C1,2.9510534,7.724491,0.2089836975113104
CN(C)C1=CC=C(I)C=C1,5.958415,18.421095,0.2104310657608026
NC1=C(Cl)C=C(I)C=C1,6.960784,18.470728,0.2115879418528254
OC1=C(F)C=C(I)C=C1I,7.8107424,14.635927,0.2119189053807086
IC1=CC=C(C=C1)N1CCCCC1,5.944234,17.67442,0.2145997617107106
CC1=CC=CC(Cl)=C1I,2.085582,9.261692,0.2184300504042795
COC1=C(I)C=CC(=C1)C(F)(F)F,1.9036841,12.762724,0.2190845644458743
OC(=O)C1=C(NC(=O)C2=C(I)C=CC=C2)C=CC=C1,5.9897118,12.648585,0.2243780262907573
IC1=C(C=CC=C1)C1=CC=CC=C1,2.950434,17.073027,0.2266038056207392
COC1=CC(Cl)=C(I)C=C1,1.4064558,9.01318,0.2326186323171049
OC(=O)C1=CC=CC(I)=C1Cl,3.0101929,8.582605,0.2349116048604109
OC1=CC=C(I)C(Br)=C1,1.2523967,8.558854,0.2356532096872242
ClCC(=O)NC1=CC=CC=C1I,2.7187564,14.660346,0.240733340536998
CC1=CC(I)=C(C)C=C1,2.4839242,18.328081,0.2409710801029077
COC1=C(I)C(F)=CC(Br)=C1,-0.4978848,11.503184,0.2435786336409789
NC1=C(I)C=C(OC(F)(F)F)C=C1,1.2673107,14.6139345,0.247534745670657
CCOP(=O)(CC1=CC=C(I)C=C1)OCC,6.374068,15.162066,0.2513186195469217
CC1=CC(N)=C(I)C=C1F,0.6484358,15.490657,0.2531088644583653
COC1=CC(I)=C(N)C=C1,0.7347414,16.02953,0.2541077796378012
NC1=C(Cl)C=C(C=C1I)C(F)(F)F,2.2467923,13.876077,0.2595269208329173
CC1=CC(F)=C(I)C=C1O,0.28648305,12.616703,0.2621720627922945
OC(=O)C1=C(F)C=C(Cl)C(I)=C1,3.934226,8.546188,0.2644655826992368
CNC(=O)C1=CC=CC=C1I,4.106082,17.79258,0.2663870018784934
OC1=CC=C(OC2=CC=C(I)C=C2)C=C1,6.3129826,16.52854,0.268340623514997
C[C@@H]1CN(CCN1S(=O)(=O)C1=CC=C(I)C=C1)C(=O)C1=CC=CC=C1,5.951011,13.866262,0.268883203684326
IC1=CC=C(NC(=O)NCC2=CC=CC=C2)C=C1,5.786222,15.488475,0.2688991038724315
NC1=C(I)C=C(C(Br)=C1)C(F)(F)F,2.3423026,13.475022,0.2696708981897198
NCC1=CC=CC=C1I,2.4871469,18.166904,0.2705885453929036
IC1=CC=C(OCC#N)C=C1,7.8932476,17.122215,0.2727929187370155
NC1=C(I)C=C(C=C1)C1=CC=CC=C1,1.7454615,15.54231,0.2794640185416302
COC1=C(N)C=CC(I)=C1,6.385763,18.552212,0.287189914781908
COC1=CC(I)=C(I)C=C1OC,1.6379762,7.987906,0.294538036319858
IC1=CC=C(OCC2=CC=CN=C2)C=C1,6.3834605,16.290369,0.2954663032476411
CC1=CC(I)=CC(F)=C1,9.160745,16.283916,0.3003282067106272
CCOC(=O)C1=CC(I)=C(N)C=C1,1.6790558,14.623102,0.3029282979830464
OC(=O)C1=CC(O)=C(I)C(O)=C1,-0.2823119,12.213997,0.3061573039063003
CC(C)C1=CC=C(I)C(=C1)N(=O)=O,5.6755767,9.407109,0.3078683502025214
ClC1=CC(Cl)=C(COC2=CC=C(I)C=C2)C=C1,6.057692,15.664607,0.3156349707033516
CC(C)S(=O)(=O)N[C@H]1CCOC[C@@H]1C1=CC=C(I)C=C1,5.375775,14.7963705,0.3158435498329358
CCCCCCCCC(=O)NCC1=C(I)C=C(O)C(OC)=C1,5.1624694,14.501488,0.3216106384059126
FC1=C(I)C=CC(Br)=C1Cl,1.8940784,11.323155,0.3276285570876113
COC1=C(N)C(I)=CC=C1,0.35395896,15.774152,0.3291537108727055
BrC1=CC=C(I)C=C1CC1=CC=C2OCCOC2=C1,5.6149626,15.289894,0.3314926998061249
CC1=C(I)C(F)=C(C=C1)C(O)=O,3.819238,10.58765,0.3317270411738081
COC1=CC=CC(I)=C1C,2.3999755,16.771544,0.3320146420060396
COC1=C(I)C(F)=CC=C1,-0.718635,12.1404705,0.332029388007284
CC1=C(C=C(I)C=C1Cl)C(O)=O,7.4864416,11.375808,0.3333571944487727
COC(=O)C1=C(N)C(I)=CC(Cl)=C1,3.8476489,12.202123,0.3343238632007623
CC1=CC=CC(C)=C1I,1.8434311,18.22036,0.3360374923052678
[H][C@@](N)(CC1=CC(I)=C(O)C(I)=C1)C(O)=O,3.8506925,13.099649,0.3562748273444145
FC1=CC(F)=C(F)C(I)=C1F,-0.7038066,10.70513,0.3605637792644092
OC1=C(I)C=CC=C1Cl,1.1921072,12.850072,0.3614589252547017
COC1=CC(N)=C(I)C=C1C(O)=O,1.179721,14.316401,0.3628846597187737
IC1=CC=C(OCCN2CCCC2)C=C1,5.8529706,16.309118,0.3633303259102728
COC(=O)C1=CC=C(I)C(N)=C1,4.245317,12.179516,0.3638350470235373
CC(=O)NC1=C(OC(F)(F)F)C=C(I)C=C1,6.6454062,16.246857,0.3647050257102238
NC1=CC(I)=C(O)C=C1,-0.11629543,15.381192,0.3648169791060167
IC1=C(C=CC=C1)C(=O)N1CCCC1,4.2751975,16.499475,0.3706893636483422
CC1=CC(Br)=CC(I)=C1,8.242576,15.43715,0.3709822906159445
COC(=O)C1=CC(I)=C(N)C(Br)=C1,2.7508795,13.514536,0.37198102627496
OB(O)C1=CC(F)=C(I)C(F)=C1,-0.40386277,11.192349,0.3739526108698863
