can,UMAP1,UMAP2,rate
CC(C)NC(=O)C1=CC=C(I)C=C1,10.013532,-1.3027143,1.6111831020267315
BrC1=C(Br)C=C(I)C(I)=C1,0.91865003,4.9574566,1.6139120615618865
CCCCCCCCOC1=CC=C(I)C=C1,14.053038,1.0414722,1.6141416536777493
COC1=CC(OC)=C(I)C(C=O)=C1,6.4146295,5.417111,1.614780261377991
FC(F)C1=CC(I)=CC=C1,12.28947,4.882762,1.619384679146053
ClC1=CC(I)=CC=C1Br,10.187899,4.9397593,1.620034399245476
COC1=CC(Cl)=CC(I)=C1,13.241378,5.5456944,1.620794759562356
BrC1=CC(I)=C(Br)C=C1I,0.7928115,5.1071773,1.6214499046289743
OC[C@@H](O)CNC(=O)C1=C(NC2=CC=C(I)C=C2F)C=NC=C1,11.466987,0.70474696,1.622351433941636
COC(=O)C1=CC(Cl)=CC(I)=C1,7.5102935,0.56893885,1.6262986909147137
OCC1=C(I)C(=CC=C1)N(=O)=O,4.109639,2.9718432,1.627035774796188
FC(F)(F)OC1=CC(Br)=C(I)C=C1,1.1464663,5.6636605,1.629080353674719
OCC1=CC(F)=C(I)C=C1,6.9731545,8.858925,1.633002381321071
CC1=CC(I)=C(F)C=C1Cl,6.529736,9.099077,1.6335443547513933
BrCC(=O)C1=C(I)C=CC=C1,5.4426036,2.4132338,1.636414031449506
OC(=O)C1=C(I)C=C(I)C=C1I,9.041353,2.5026329,1.637920522992149
OC[C@@H](O)CONC(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1,11.693382,0.8989411,1.6388310887793525
COC1=C(I)C(=CC=C1)N(=O)=O,5.0810595,5.300452,1.6390812590097004
CNC(=O)C1=CC=CC(I)=C1,9.032323,0.44959244,1.6413477509954506
FC1=CC(=CC=C1)C(=O)C1=C(I)C=CC=C1,6.5072594,3.248056,1.6416399493413625
COC(=O)C1=CC(I)=C(OC(F)F)C=C1,7.592697,7.2754283,1.6428864730280253
CC(C)(C)OC(=O)NC1=CC=C(I)C=C1F,14.488098,2.0619726,1.6451767555930068
CCOC(=O)C1=C(I)C=CC=C1F,10.850694,6.1299314,1.6452411916322878
CC(C)C1=CC(I)=CC(C(C)C)=C1O,15.317378,2.3846536,1.646082954609122
COC1=C(O)C=CC(I)=C1,15.620112,4.266333,1.6472305793724398
NCC1(CCCC1)C1=CC=C(I)C=C1,13.495207,2.4314444,1.6507080434178951
IC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,14.7692175,1.5008684,1.6522932940859527
COC1=C(F)C=CC=C1I,7.9029264,8.251341,1.6575118766858914
IC1=CC=C(C=C1)C1=CN2C=CSC2=N1,15.121156,1.9306442,1.6583280079368328
BrCC(=O)C1=CC(I)=CC=C1,7.650454,0.022640062,1.6597424357957118
NC1=C(I)C=C(I)C=C1N(=O)=O,6.4659114,5.480825,1.660347798085806
IC1=CC=C(CC(=O)N2CCCC2)C=C1,13.450201,1.9484154,1.662397065323148
CC(=O)C1=CC(I)=CC=C1O,8.043532,2.7019718,1.6626054670661083
OC(=O)C1=CC(I)=C(C=C1)C(F)(F)F,4.827784,1.5663716,1.6645406474501432
IC1=CC=C(C=C1)C1=CC=C(O1)C=O,9.732611,0.38872024,1.665978172361167
CC(=O)C1=CC=C(I)C(Br)=C1,1.7207998,4.547361,1.6666498365934002
FC1=C(C=CC(I)=C1)C#N,6.7731123,-0.94213015,1.66710508485528
COC(=O)C1=C(N)C(I)=CC(=C1)C(F)(F)F,7.085476,5.831821,1.6671732315258343
ClC1=C(C=O)C(I)=CC=C1,4.595049,3.071445,1.6672589630468155
FC1=CC(I)=CC=C1CBr,10.365102,4.5577374,1.667785787432252
FC1=CC=C(I)C(F)=C1,6.355776,9.272643,1.6685667128645547
OC1=C(I)C(O)=C(I)C=C1I,7.150573,6.768328,1.6696939210326671
CC1=CC=C(C=C1I)C(O)=O,6.0180955,3.730729,1.6708105700058622
NC1=CC(F)=C(C=C1I)C#N,8.275886,8.707916,1.6729978521952458
IC1=CC(C=O)=CC(I)=C1,7.7298574,0.5872189,1.6747714010221333
CCN(CC)C(=O)C1=CC(OCC(C)C)=C(I)C=C1,8.82446,6.0211267,1.6757455619376724
OC(=O)C1=CC(I)=CC(I)=C1,9.948002,2.7926505,1.6757962135743087
OC(=O)CC1=CC=C(I)C=C1,13.121538,4.705293,1.67896724462755
CC(Br)C(=O)N(C)C1=CC=C(I)C=C1,11.030974,3.7188272,1.679079685371744
CC1(C)COB(OC1)C1=CC=C(I)C=C1,13.022718,2.154813,1.679334304353482
COC(=O)C1=CC(=CC=C1I)C(F)(F)F,5.60034,1.315738,1.6820151442281237
CCOC(=O)C1=CC(I)=C(C=C1)C#N,4.298398,0.9793519,1.6883773521126222
NC1=CC=C(I)C=C1C#N,8.348356,2.57072,1.6883785346527307
ClC1=CC=CC=C1I,2.2527177,6.6587033,1.6888139270256608
CCC(=O)C1=CC=C(I)C=C1,8.788427,-1.0094342,1.6889460515672885
COC(=O)C1=CC(I)=C(O)C(I)=C1,7.43208,6.581775,1.695638358325849
IC1=CC2=C(C=CC=C2)C2=C1C=CC=C2,6.965046,3.9136975,1.6956511148151798
CC1=CC(=CC(I)=C1N)N(=O)=O,6.894526,5.0543904,1.6960969882414116
ClC1=C(CBr)C=CC(I)=C1,10.086337,4.651593,1.6968124376655531
COC1=CC(I)=C(Cl)C=C1,1.7450541,6.7487593,1.6982422277736906
CC(C)(C)C1=CC(I)=CC(C=O)=C1O,8.654853,2.3609571,1.698366118381545
