can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
COC1=CC(Br)=C(I)C=C1,-2927.7696013581,11.0992961747,2885.2694074365,1435.0235605796,0.1229468505,4.2218705214,0.1407829832,0.0953883443,-0.2361713276,-0.0453946389,312.9323,1583.7932319984,0.0970871758,-0.3298560663,0.0309688403,-0.2505947049,1.9985248067,-0.4345670129,61.7978298246,73.3469440385,0.0285744201,-0.2878138148,1.99844,0.6558522094,-0.1705725493,-0.0579073136,0.0194878484,0.1911015453,28.7961941528,44.814453048,0.0055351933,0.577
NNC1=CC=C(I)C=C1,-353.3155987571,15.2828925194,2063.9139979181,1306.7365126555,0.133736269,3.69926059,0.1190071845,0.0918128692,-0.2108200537,-0.0271943152,234.0392,1250.0086335549,0.2515174172,-0.2934960486,0.0319560681,-0.2480032964,1.99877,-0.4145114476,66.3301723439,81.7877027141,0.0263649533,-0.2676838743,1.99862,0.6242301462,-0.2813653896,-0.2971683848,0.0218442724,0.1142317375,28.2813998262,46.4999033239,0.0052282043,0.935
CC(C)(C)OC(=O)N1CCN(CC1)C(=O)C1=CC=CC=C1I,-967.8677194185,9.49298716,9486.4657600635,2782.7736027059,0.3794943183,6.6724784206,0.1374307604,0.1007898976,-0.238220658,-0.0366408628,416.258,2666.2046134675,0.431984956,-0.3238957479,0.030123538,-0.2715084672,1.99868,-0.4081537955,97.4486028461,67.9605831701,0.0269371364,-0.2124237739,1.9985617228,0.6938098816,-0.2394081157,-0.091016193,0.0235743583,0.1702628841,25.5909828188,45.5869061032,0.0053021731,1.158
CCOC(=O)C1=C(Cl)C=C(I)C=C1,-969.1529886394,4.2903269977,4169.431080261,1846.5460245779,0.1654584185,2.5242379681,0.1607864491,0.1010232382,-0.2618096873,-0.059763211,310.5185,1682.7451761601,0.620545101,-0.3285164065,0.0300177447,-0.2722364689,1.9987420909,-0.3930636729,114.8519744766,58.9485896267,0.0279497346,-0.2123785341,1.99865,0.6258982151,-0.2562656241,0.0753779419,0.0254825661,0.1899715157,29.8289243027,44.2459830452,0.00545,2.036
COC(=O)C1=C(N)C=CC(I)=C1,-525.7259664414,3.3286311578,2989.3506521246,1580.5360147915,0.1619474584,1.8953442489,0.132184476,0.0834798888,-0.2156643649,-0.0487045872,277.0612,1630.9708387741,0.0784566443,-0.3924852347,0.0278172054,-0.1715285603,1.9986193013,-0.4374790512,63.9586040933,85.0903315454,0.026937904,-0.278605067,1.9986096507,0.6253438646,-0.25822012,0.2326481948,0.004718952,0.1324795872,28.7863922371,46.2321890614,0.0053206987,1.451
FC1=C(I)C=C(C=O)C=C1,-455.1536438551,3.6266206671,2036.3371584947,1263.7172476868,0.1006422142,2.6255462273,0.1658151706,0.0953366022,-0.2611517728,-0.0704785684,250.0109,1144.1654368134,0.209260002,-0.521237203,0.0273610728,-0.3105626135,1.99858,-0.5220142825,87.7825015416,77.1500323047,0.0277867886,-0.3204300422,1.99858,0.6436550352,-0.1612599746,0.1936776254,0.006029286,0.2122173873,26.320034188,46.1565494544,0.0060485719,1.563
CCNC(=O)C1=CC(I)=CC=C1,-489.8145696432,5.9831660212,3497.2327917419,1630.8302255496,0.1869422026,4.8408134818,0.1490301873,0.105597734,-0.2546279213,-0.0434324532,275.0886,1568.6297543434,0.4877840654,-0.3899077783,0.0284741625,-0.2344655391,1.998677985,-0.4144860711,97.4854171806,64.467954981,0.0277157645,-0.2268043427,1.9986499959,0.6265849255,-0.2676768109,0.0919196246,0.0119507824,0.1516284646,29.3341593548,45.006566177,0.0052800057,1.788
ClC1=C(CC2=CC3=C(OCCO3)C=C2)C=C(I)C=C1,-1199.914403965,27.831997688,7806.2634454991,2657.4022308817,0.2526711698,2.2376656843,0.1271020294,0.0913360661,-0.2184380955,-0.0357659634,386.6161,2323.2310334199,0.5053031117,-0.3373694155,0.0309476832,-0.3056847993,1.9987576204,-0.4048002692,98.3183497401,67.1407103324,0.0277202523,-0.2276587237,1.9986330318,0.628747232,-0.2652116219,-0.3890705186,0.016609368,0.1581077554,29.4756118424,45.2042284825,0.0053369682,1.494
OC(=O)CCC1=CC(I)=CC=C1,-509.6859940212,6.6005925319,3653.4066308236,1665.7261964957,0.1744931741,2.5861575769,0.1409550492,0.1087745431,-0.2497295923,-0.0321805062,276.0734,1472.2977104442,0.5325978367,-0.3173343448,0.0309397962,-0.2558875657,1.9987583673,-0.4016791114,92.79527224,65.4674231925,0.0274597962,-0.2186831738,1.9986483673,0.6274226056,-0.2852869275,-0.0587240455,0.0258297962,0.1321329261,29.0430275603,45.434702621,0.0051832654,1.526
CC1=CC(I)=CC=C1Cl,-741.501142,5.9998,2241.6745,1011.645,0.117539,0.6409,0.14138,0.10646,-0.24784,-0.03492,252.4819,1174.813,0.497583,-0.312874,0.03118,-0.25947,1.99875,-0.403256,97.5336,67.6028,0.0275,-0.22887,1.99864,0.6260226558,-0.261654,-0.073964,0.02508,0.154887,29.1775,45.3119,0.00532,1.347
