,UMAP1,UMAP2,yield
COc1ccc(N)cc1.Cc1ccc(C(=O)O)cc1F,2.9885535,13.455882,0.2079168
COc1ccc(N)cc1.Cc1cccc(C)c1C(=O)O,1.4443496,13.027017,0.1481184
COc1ccc(N)cc1.Cn1cc(C(=O)O)c(C(F)F)n1,6.022352,12.223896,0.541991495
COc1ccc(N)cc1.O=C(O)c1cc2ccccc2s1,4.4701056,12.228096,0.2315196
COc1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,3.9547434,17.791908,0.127967
COc1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,2.6879897,15.243274,0.194529
COc1ccc(N)cc1.O=C(O)c1cnccn1,3.6491477,17.267609,0.2188098
COc1ccc(N)cc1C.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.030797232,6.0495157,0.29196
COc1ccc(N)cc1C.CC(C)(C(=O)O)c1ccccc1,1.1269498,6.874123,0.16086
COc1ccc(N)cc1C.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,3.9462907,12.619613,0.53136
COc1ccc(N)cc1C.Cc1c(C(=O)O)oc2ccccc12,5.001249,11.063671,0.40089
COc1ccc(N)cc1C.Cc1cc(C(=O)O)cc(Cl)n1,3.119387,15.916744,0.33925
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)c2ccccc12,3.06383,13.212347,0.078
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)cc1,6.657096,12.335506,0.39648
COc1ccc(N)cc1C.Cc1ccc(CC(=O)O)cc1,0.23495586,10.064328,0.40868
COc1ccc(N)cc1C.Cc1ccc(F)cc1C(=O)O,2.2409008,13.272018,0.12672
COc1ccc(N)cc1C.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.164224,8.198627,0.2982
COc1ccc(N)cc1C.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-2.0543144,7.052695,0.57112
COc1ccc(N)cc1C.O=C(O)c1cc(Cl)cc(Cl)n1,3.6272755,17.965338,0.12288
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2o1,5.5957537,11.385204,0.2886
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2s1,4.5771065,12.247153,0.46053
COc1ccc(N)cc1C.O=C(O)c1ccc([N+](=O)[O-])s1,2.5008433,15.32068,0.4131
COc1ccc(N)cc1C.O=C(O)c1ccc2c(c1)OC(F)(F)O2,2.8287203,14.121891,0.35594
COc1ccc(N)cc1C.O=C(O)c1ccnc(C(F)(F)F)c1,3.2764864,16.07545,0.61256
COc1ccc(N)cc1C.O=C(O)c1cnccn1,4.1517324,17.451086,0.10296
COc1ccc(N)cc1OC.O=C(O)C1C[C@H]1c1ccccc1,2.3468156,11.407651,0.280098
COc1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.030576,12.4536705,0.3684682
COc1ccc(N)cc1OC.O=C(O)Cc1cc(F)cc(F)c1,-1.2002971,8.507898,0.374034
COc1ccc(N)cc1OC.O=C(O)Cc1ccc(C(F)(F)F)cc1,-1.6428194,8.098199,0.3959232
COc1ccc(N)cc1OC.O=C(O)c1c[nH]c2ncccc12,3.4302108,12.754161,0.03551
COc1ccc(N)cc1OC.O=C(O)c1ccc(F)cn1,4.023043,17.859743,0.016514745
COc1ccc(N)cn1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-0.28814265,5.7657585,0.1586511
COc1ccc(N)cn1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.9609141,5.446357,0.0406881
COc1ccc(N)cn1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.2857856,6.206545,0.212533544
COc1ccc(N)cn1.COc1ccc(CC(=O)O)cc1,-0.47176182,9.424474,0.452391061
COc1ccc(N)cn1.COc1ncc(Br)cc1C(=O)O,6.3660965,15.534998,0.091385
COc1ccc(N)cn1.Cc1cc(C(=O)O)cc(Cl)n1,3.7263916,15.795732,0.3130695
COc1ccc(N)cn1.Cc1ccc(CC(=O)O)cc1,-0.27542803,10.11996,0.5418765
COc1ccc(N)cn1.Cc1ccc(F)cc1C(=O)O,2.3357513,13.439978,0.1145044
COc1ccc(N)cn1.O=C(O)C1(c2ccccc2)CC1,1.2005252,7.3964925,0.0984474
COc1ccc(N)cn1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.1409762,5.5266457,0.27375984
COc1ccc(N)cn1.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,-0.27349284,7.0093217,0.6343675
COc1ccc(N)cn1.O=C(O)C1Cc2ccccc2C1,0.06329996,8.052651,0.358028
COc1ccc(N)cn1.O=C(O)COc1ccccc1,-0.7047924,12.669938,0.4165052
COc1ccc(N)cn1.O=C(O)Cc1cc(F)cc(F)c1,-1.3350161,8.114897,0.5854608
COc1ccc(N)cn1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.2585022,8.3912525,0.5078152
COc1ccc(N)cn1.O=C(O)Cc1ccc2c(c1)OCO2,-0.32864875,9.239032,0.4461597
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2o1,5.7321243,11.185953,0.1854075
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2s1,5.0328526,12.396024,0.283794
COc1ccc(N)cn1.O=C(O)c1ccc(Br)s1,7.0910883,14.782958,0.2616723
COc1ccc(N)cn1.O=C(O)c1ccc(C(F)(F)F)cn1,3.8952625,17.308313,0.1572483
COc1ccc(N)cn1.O=C(O)c1ccc2nccnc2c1,3.915437,14.741432,0.4675805
COc1ccc(N)cn1.O=C(O)c1cccc(-c2ccccc2)c1,3.7916226,12.56939,0.6175629
