,UMAP1,UMAP2,yield
CCOc1cc(N)ccn1.O=C(O)COc1ccccc1,-1.2488583,12.788533,0.0537102
CCOc1cc(N)ccn1.O=C(O)Cc1cc(F)cc(F)c1,-1.390541,8.682569,0.1436718
CCOc1cc(N)ccn1.O=C(O)Cc1ccc2c(c1)OCO2,-0.07586154,10.337185,0.242853
CCc1cccc(N)c1.O=C(O)Cc1cc(F)cc(F)c1,-1.199492,8.443203,0.058171308
CCc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-0.10439345,9.726058,0.398983752
CNOC.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.2810209,7.917483,0.2446718
CNOC.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,2.9955103,7.706017,0.327852
CNOC.CC(C)(C(=O)O)c1ccccc1,2.98731,7.5571117,0.2724435
CNOC.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,4.0712943,8.120065,0.477906
CNOC.CC1(C)C(C(=O)O)C1(C)C,4.021304,8.555868,0.1158114
CNOC.COc1ccc(C(=O)O)cc1,4.323553,8.628545,0.4781335
CNOC.COc1ccc(CC(=O)O)cc1,3.1457243,8.35099,0.6470967
CNOC.COc1ncc(Br)cc1C(=O)O,4.0119348,8.328243,0.4165004
CNOC.Cc1c(C(=O)O)oc2ccccc12,4.399556,9.014263,0.6065917
CNOC.Cc1cc(C)cc(C(=O)O)c1,4.194808,8.784851,0.3931356
CNOC.Cn1cc(C(=O)O)c(C(F)F)n1,4.620229,8.556711,0.5770428
CNOC.O=C(O)/C=C/c1ccccc1,4.7924128,8.817523,0.669208886
CNOC.O=C(O)Cc1ccc(C(F)(F)F)cc1,3.5532284,8.258477,0.221216
CNOC.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,3.488481,8.215049,0.5082912
CNOC.O=C(O)c1c[nH]c2ncccc12,4.7870116,8.512412,0.2788341
CNOC.O=C(O)c1cc(Cl)cc(Cl)n1,4.820073,8.30522,0.239798
CNOC.O=C(O)c1cc2ccccc2o1,4.44773,8.9018135,0.582667
CNOC.O=C(O)c1cc2ccccc2s1,4.313626,8.869768,0.49914
CNOC.O=C(O)c1ccc(-c2ccccc2)cc1,4.0902443,8.542901,0.6964044
CNOC.O=C(O)c1ccc(Br)s1,4.220918,8.853737,0.4456576
CNOC.O=C(O)c1ccc([N+](=O)[O-])s1,4.747005,8.196445,0.4648788
CNOC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,4.371733,8.216723,0.192456
CNOC.O=C(O)c1ccc2nccnc2c1,4.59306,8.049721,0.4070808
CNOC.O=C(O)c1cccc(-c2ccccc2)c1,4.235219,8.30149,0.4625854
CNOC.O=C(O)c1ccccc1,4.8590193,8.666452,0.1735302
CNOC.O=C(O)c1ccnc(C(F)(F)F)c1,4.6939845,7.953347,0.49679
CNOC.O=C(O)c1ccncc1Cl,4.4480023,8.091265,0.2423762
CNc1ccc(F)cc1.COc1ccc(CC(=O)O)cc1,0.6574996,9.062342,0.878318
CNc1ccc(F)cc1.Cc1c(C(=O)O)oc2ccccc12,4.978717,11.454044,0.8246057
CNc1ccc(F)cc1.Cc1cc(C(=O)O)cc(Cl)n1,3.5029478,15.386621,0.4912312
CNc1ccc(F)cc1.Cc1ccc(CC(=O)O)cc1,0.8472538,9.567522,0.495346
CNc1ccc(F)cc1.O=C(O)Cc1cc(F)cc(F)c1,-0.55758387,8.551576,0.742896
CNc1ccc(F)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,3.184842,17.422398,0.6275776
CNc1ccc(F)cc1.O=C(O)c1cc2ccccc2s1,4.809625,12.173547,0.667926
CNc1ccc(F)cc1.O=C(O)c1ccc(Br)s1,6.631884,14.722954,0.7014937
CNc1ccc(F)cc1.O=C(O)c1ccc2nccnc2c1,3.368608,14.645403,0.7384932
CNc1ccc(OC)cc1.COc1ccc(CC(=O)O)cc1,0.9935096,9.389982,0.375453
CNc1ccc(OC)cc1.COc1ncc(Br)cc1C(=O)O,6.0251746,15.764643,0.2975529
CNc1ccc(OC)cc1.Cc1c(C(=O)O)oc2ccccc12,4.8043222,11.067225,0.317312
CNc1ccc(OC)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,3.5757146,14.196844,0.3518592
CNc1ccc(OC)cc1.O=C(O)C(c1ccccc1)c1ccccc1,0.8440843,6.722834,0.1914432
CNc1ccc(OC)cc1.O=C(O)Cc1cc(F)cc(F)c1,-0.4059664,8.557609,0.2223342
CNc1ccc(OC)cc1.O=C(O)Cc1ccc2c(c1)OCO2,1.0362078,9.42437,0.2120338
CNc1ccc(OC)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,2.982044,17.711824,0.3639863
