Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield
446,COC(=O)CC1CCc2cc(C(Cc3ccc(O)cc3)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)OCc1ccccc1,2.8
447,COC(=O)CC1CCc2cc(CCNC(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)CCNC(=O)c1ccccc1,5.7
448,COC(=O)CC1CCc2cc(C3CCCN3C(=O)[C@H](C)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,C[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,0.7
449,COC(=O)CC1CCc2cc(C3C[C@@H](O)CN3C(C)=O)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(=O)N1C[C@H](O)C[C@H]1C(=O)O,0.1
450,COC(=O)CC1CCc2cc(C3CCCN3C(=O)CNC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(NCC(=O)N1CCC[C@H]1C(=O)O)OCc1ccccc1,11.6
451,COC(=O)CC1CCc2cc(C3N(C(=O)OC(C)(C)C)CSC3(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)(C)OC(=O)N1CSC(C)(C)C1C(=O)O,5.0
452,COC(=O)CC1CCc2cc(C(NC(=O)OC(C)(C)C)[C@H](C)O)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,C[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C(=O)O,0.0
454,COC(=O)CC1CCc2cc(C(Cc3cn(C=O)c4ccccc34)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)(C)OC(=O)N[C@H](Cc1cn(C=O)c2ccccc12)C(=O)O,2.3
455,COC(=O)CC1CCc2cc(C(CC(N)=O)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)(C)OC(=O)N[C@@H](CC(N)=O)C(=O)O,2.1
457,COC(=O)CC1CCc2cc(C(Cc3ccc(OC(C)=O)cc3)NC(C)=O)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(=O)N[C@@H](Cc1ccc(OC(C)=O)cc1)C(=O)O,0.3
458,COC(=O)CC1CCc2cc(C(NC(=O)OC(C)(C)C)C(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)[C@@H](NC(=O)OC(C)(C)C)C(=O)O,0.0
460,COC(=O)CC1CCc2cc(C(CC(C)C)N(C)C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)C[C@@H](C(=O)O)N(C)C(=O)OC(C)(C)C,0.5
