Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield,bin
2784,Cn1nc(C(=O)N2CCC(c3ccc(CCC#N)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,N#CCCc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,33.6,>10
2785,Cn1nc(C(=O)N2CCC(c3ccc(C4(C#N)CC4)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,N#CC1(c2ccc(Br)cc2)CC1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
2786,Cn1nc(C(=O)N2CCC(c3ccc(C4OCCO4)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(C2OCCO2)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
2787,Cn1cnc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)c1,Cn1cnc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,21.0,>10
2788,CC(=O)c1cc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cs1,CC(=O)c1cc(Br)cs1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,17.2,>10
2789,COc1cccnc1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,COc1cccnc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,42.4,>10
2791,Cn1nc(C(=O)N2CCC(c3ccnc(N)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Nc1cc(Br)ccn1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.3,0< yield ≤10
2793,Cc1cncc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)c1,Cc1cncc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,67.6,>10
2794,Cn1nc(C(=O)N2CCC(c3cccc4cnccc34)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cccc2cnccc12,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,4.2,0< yield ≤10
2795,Cn1nc(C(=O)N2CCC(c3ccc4oc(N)nc4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Nc1nc2cc(Br)ccc2o1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,23.7,>10
2796,Cn1nc(C(=O)N2CCC(c3ccc4nc(N)oc4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Nc1nc2ccc(Br)cc2o1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,13.1,>10
2799,Cn1nc(C(=O)N2CCC(c3cccc(C#C[Si](C)(C)C)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,C[Si](C)(C)C#Cc1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
2801,Cn1nc(C(=O)N2CCC(c3cccc(-c4cc[nH]n4)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cccc(-c2cc[nH]n2)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,38.0,>10
2802,Cn1nc(C(=O)N2CCC(c3cc(=O)[nH]nc3-c3ccccc3)CC2)c2c1CCN(C(=O)C1CC1)C2,O=c1cc(Br)c(-c2ccccc2)n[nH]1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,10.2,>10
2803,Cn1nc(C(=O)N2CCC(c3ccc(B(O)O)s3)CC2)c2c1CCN(C(=O)C1CC1)C2,OB(O)c1ccc(Br)s1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,3.0,0< yield ≤10
2804,Cn1nc(C(=O)N2CCC(c3ccc(CN4CCNCC4)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(CN2CCNCC2)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
2805,Cn1nc(C(=O)N2CCC(c3ncc[nH]3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ncc[nH]1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,15.2,>10
2806,Cn1nc(C(=O)N2CCC(c3ccc4ccncc4n3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc2ccncc2n1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.3,0< yield ≤10
2807,Cn1nc(C(=O)N2CCC(c3cccc4nccnc34)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cccc2nccnc12,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,7.3,0< yield ≤10
2808,Cn1nc(C(=O)N2CCC(c3ccc(C4CCCN4)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(C2CCCN2)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
2809,CN1CCOc2cc(C3CCN(C(=O)c4nn(C)c5c4CN(C(=O)C4CC4)CC5)CC3)ccc21,CN1CCOc2cc(Br)ccc21,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
2810,Cn1nc(C(=O)N2CCC(c3ccc(N4CCOCC4)nc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(N2CCOCC2)nc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
2814,Cn1nc(C(=O)N2CCC(c3cccc(OC(F)(F)C(F)F)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,FC(F)C(F)(F)Oc1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
